docket_number|citation|citation_type|pin_cite|context
24-2088|35 U.S.C. § 315(e)(2)|US Code||IPR estoppel — controlling statute
24-2088|35 U.S.C. § 315(e)(1)|US Code||IPR estoppel as to subsequent Board proceedings
24-2088|28 U.S.C. § 1295(a)(1)|US Code||Federal Circuit jurisdiction
24-2088|Fed. R. Civ. P. 54(b)|Federal Rule||Partial final judgment
24-2088|Ironburg Inventions Ltd. v. Valve Corp.|Case decision|64 F.4th 1274 (Fed. Cir. 2023)|Ironburg I; patentee bears burden
24-2088|Ingenico Inc. v. IOENGINE LLC|Case decision|136 F.4th 1354 (Fed. Cir. 2025)|Ground vs reference distinction (n.5)
24-2088|Palomar Techs. Inc. v. MRSI Sys. LLC|Case decision|2020 WL 2115625 (D. Mass.)|"Read interpret understand" discovery standard
24-2088|Clearlamp LLC v. LKQ Corp.|Case decision|2016 WL 4734389 (N.D. Ill.)|Search-string-and-source method
24-2088|Panduit Corp. v. Dennison Mfg. Co.|Case decision|810 F.2d 1561 (Fed. Cir. 1987)|No further fact-finding when evidence insufficient
24-2088|SAS Institute Inc. v. Iancu|Case decision|584 U.S. 357 (2018)|IPR partial institution context
24-2088|Intuitive Surgical Inc. v. Ethicon LLC|Case decision|25 F.4th 1035 (Fed. Cir. 2022)|Prior skilled-searcher appeal
24-2088|GeigTech E. Bay LLC v. Lutron Elecs. Co.|Case decision|2023 WL 8827572 (S.D.N.Y.)|District court guidance on skilled searcher
24-2088|EIS Inc. v. IntiHealth Ger GmbH|Case decision|2023 WL 6797905 (D. Del.)|Skilled searcher standard
24-2088|U.S. Patent No. 8 641 525|Patent||Patent in suit (the '525 patent)
24-2088|U.S. Patent No. 6 362 813|Patent||Wörn — prior art
24-2088|U.S. Published Patent Application No. 2010/0298053|Patent application||Kotkin — disputed prior art
24-2088|U.S. Patent No. 6 760 013|Patent||Willner — prior art on face of '525 patent
24-2088|Japanese Patent Application No. JP-A H10-020951|Foreign patent||Koji — disputed prior art
24-2088|U.S. Patent No. 5 773 769|Patent||Raymond — disputed prior art
24-2088|U.S. Patent No. D983 269 S|Patent||Ironburg design patent (2023) — hindsight concern
24-1600|35 U.S.C. § 314(d)|US Code||Institution non-appealability — controlling statute
24-1600|35 U.S.C. § 315(b)|US Code||IPR petition timeliness (Thryv context)
24-1600|35 U.S.C. § 315(e)|US Code||IPR estoppel (Sotera context)
24-1600|35 U.S.C. § 312(a)(2)|US Code||Real party in interest (Federal Express context)
24-1600|28 U.S.C. § 1295(a)(4)(A)|US Code||Federal Circuit jurisdiction over PTAB appeals
24-1600|Cuozzo Speed Techs. LLC v. Lee|Case decision|579 U.S. 261 (2016)|§ 314(d) scope foundation
24-1600|Thryv Inc. v. Click-To-Call Techs. LP|Case decision|590 U.S. 45 (2020)|Substance-over-form for § 314(d)
24-1600|Federal Express Corp. v. Qualcomm Inc.|Case decision|174 F.4th 910 (Fed. Cir. 2026)|Directly controlling
24-1600|Ethanol Boosting Sys. LLC v. Ford Motor Co.|Case decision|162 F.4th 1151 (Fed. Cir. 2025)|"Different agency action" insufficient
24-1600|IGT v. Zynga Inc.|Case decision|144 F.4th 1357 (Fed. Cir. 2025)|"Institution as direct immediate express subject" test
24-1600|Apple Inc. v. Vidal|Case decision|63 F.4th 1 (Fed. Cir. 2023)|§ 314(d) scope
